Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,molecule,begin,end,strand,id,locus,description,,
BAF66725.1,1486.847959,-0.404929798,0.374043391,-1.082574394,0.278997378,0.662971823,AP009351.1,515662,517635,+,metS,NWMN_0453,methionyl-tRNA synthetase,,
BAF66726.1,1120.042339,-0.319832254,0.1513222,-2.113584485,0.034550772,0.215730368,AP009351.1,517666,518439,+,NWMN_0454,NWMN_0454,TatD related DNase,,
BAF66727.1,75.26155034,0.082354272,0.443828481,0.185554275,0.852794314,0.960020583,AP009351.1,518606,519142,+,NWMN_0455,NWMN_0455,conserved hypothetical protein,,
BAF66728.1,186.0530706,0.056517736,0.385368901,0.146658789,0.883401348,0.969965012,AP009351.1,519153,520046,+,ksgA,NWMN_0456,dimethyladenosine transferase,,
BAF66729.1,6023.784046,0.200070273,0.424899083,0.470865391,0.637736865,0.884685157,AP009351.1,520146,520409,+,veg,NWMN_0457,Veg protein,,
BAF66730.1,1338.715076,0.168990899,0.431109438,0.39199072,0.695065071,0.911874359,AP009351.1,520719,521567,+,NWMN_0458,NWMN_0458,conserved hypothetical protein,,
BAF66731.1,2693.566604,-0.043326843,0.212559847,-0.203833619,0.83848352,0.95181104,AP009351.1,521581,522405,+,purR,NWMN_0459,pur operon repressor,,
BAF66732.1,2578.990681,0.220662381,0.293160886,0.752700621,0.451629837,0.798340906,AP009351.1,522422,522802,+,NWMN_0460,NWMN_0460,conserved hypothetical protein,,
BAF66733.1,2533.562891,0.039790571,0.248982139,0.159812952,0.873028421,0.966149126,AP009351.1,522874,523176,+,spoVG,NWMN_0461,stage V sporulation protein G homolog,,
BAF66734.1,1077.978852,-0.224511311,0.447196222,-0.502042056,0.615637938,0.876965484,AP009351.1,523514,524872,+,gcaD,NWMN_0462,UDP-N-acetylglucosamine pyrophosphorylase,,
BAF66735.1,1192.134844,-0.498137608,0.403607147,-1.23421404,0.217123157,0.589667035,AP009351.1,525019,525984,+,prs,NWMN_0463,ribose-phosphate pyrophosphokinase,,
BAF66736.1,32710.28556,-0.82171486,0.38653591,-2.125843519,0.033516291,0.210795747,AP009351.1,526134,526787,+,rplY,NWMN_0464,50S ribosomal protein L25,,
BAF66737.1,270.5073882,0.397406447,0.208592036,1.905185139,0.056756009,0.290077863,AP009351.1,527098,527670,+,pth,NWMN_0465,peptidyl-tRNA hydrolase,,
BAF66738.1,916.7909026,-0.151594,0.381066694,-0.397814877,0.69076665,0.910494233,AP009351.1,527670,531176,+,mfd,NWMN_0466,transcription-repair coupling factor,,
BAF66739.1,645.5600316,-0.067602125,0.183294649,-0.368816685,0.712264367,0.919345504,AP009351.1,531166,532692,+,NWMN_0467,NWMN_0467,conserved hypothetical protein,,
BAF66740.1,538.6704931,0.118749795,0.292651607,0.40577189,0.684910215,0.908451381,AP009351.1,532689,533885,+,NWMN_0468,NWMN_0468,conserved hypothetical protein,,
BAF66741.1,131.5529558,0.100370698,0.359357093,0.279306295,0.780009775,0.938568007,AP009351.1,534163,534555,+,divIC,NWMN_0469,cell-division initiation protein,,
BAF66742.1,3022.769906,-0.098419534,0.299058167,-0.329098299,0.74208139,0.929525756,AP009351.1,534660,535061,+,NWMN_0470,NWMN_0470,polyribonucleotide nucleotidyltransferase,,
BAF66743.1,592.5156413,0.034899102,0.256188131,0.136224507,0.891643802,0.970116559,AP009351.1,535241,536536,+,tilS,NWMN_0471,isoleusyl-tRNA-2-lysl-cytidine synthase,,
BAF66744.1,350.5848409,-0.176563631,0.34534209,-0.511271681,0.609160832,0.875422887,AP009351.1,536565,537080,+,hpt,NWMN_0472,hypoxanthine phosphoribosyltransferase,,
BAF66745.1,6627.170719,-0.059537638,0.349551039,-0.170326023,0.864753747,0.963380322,AP009351.1,537337,539430,+,ftsH,NWMN_0473,ATP-dependent metalloprotease FtsH,,
BAF66746.1,1707.551,0.066345828,0.398523559,0.16647906,0.867779961,0.96429824,AP009351.1,539659,540540,+,NWMN_0474,NWMN_0474,33 KDa heat-shock protein,,
BAF66747.1,19074.04433,-3.383948013,0.262909104,-12.8711709,6.54E-38,3.55E-35,AP009351.1,540719,541651,+,NWMN_0475,NWMN_0475,cysteine synthase homolog,,
BAF66748.1,216.2617495,-0.403571909,0.366342082,-1.101625854,NA,NA,AP009351.1,541867,542670,+,folP,NWMN_0476,dihydropteroate synthase chain A,,
BAF66749.1,107.5772164,-0.044123401,0.379877892,-0.116151538,0.907532444,0.975747261,AP009351.1,542648,543013,+,folB,NWMN_0477,dihydroneopterin aldolase,,
BAF66750.1,257.910551,-0.238170476,0.353991461,-0.672814184,0.501065513,0.823755422,AP009351.1,543010,543486,+,folK,NWMN_0478,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,,
BAF66751.1,3254.376304,-0.454653277,0.262810542,-1.729965908,0.083636366,0.365337633,AP009351.1,543965,545512,+,lysS,NWMN_0479,lysyl-tRNA synthetase%2C class-2,,
BAF66752.1,35.77313177,-0.355825254,0.319066341,-1.115207745,0.264761408,0.648653512,AP009351.1,552569,553951,-,NWMN_0480,NWMN_0480,GntR family regulatory protein,,
BAF66753.1,2580.449248,-0.113711541,0.381997867,-0.297675852,0.765950576,0.936853959,AP009351.1,554055,554942,+,NWMN_0481,NWMN_0481,pyridoxine biosynthesis protein,,
BAF66754.1,2194.886001,-0.224040918,0.231858293,-0.966283825,0.333902177,0.713045324,AP009351.1,554946,555506,+,NWMN_0482,NWMN_0482,conserved hypothetical protein,,
BAF66755.1,1611.381899,0.055693427,0.242769856,0.229408327,0.818551565,0.94820064,AP009351.1,555714,556928,-,nupC,NWMN_0483,pyrimidine nucleoside transport protein,,
BAF66756.1,267.6593336,0.361758992,0.300218694,1.204984896,0.228209133,0.605492054,AP009351.1,557086,557547,+,ctsR,NWMN_0484,transcriptional regulator CtsR,,
BAF66757.1,293.0883448,0.734688566,0.338619064,2.169660966,0.030032539,0.196622672,AP009351.1,557644,558132,+,NWMN_0485,NWMN_0485,UvrB%2FUvrC motif domain protein,,
BAF66758.1,409.1149938,0.426126736,0.35545567,1.198818228,0.230598633,0.607360785,AP009351.1,558119,559129,+,NWMN_0486,NWMN_0486,ATP:guanido phosphotransferase,,
BAF66759.1,2832.304882,0.500237811,0.228603189,2.188236364,0.02865239,0.190338735,AP009351.1,559143,561599,+,clpC,NWMN_0487,ATP-dependent Clp protease%2C ATP-binding subunit ClpC,,
BAF66760.1,243.4005669,0.01890289,0.350907327,0.05386861,0.957039846,0.988357367,AP009351.1,562084,563448,+,radA,NWMN_0488,DNA repair protein RadA,,
BAF66761.1,124.5110563,0.174565213,0.361969488,0.482264996,0.62961771,0.883230049,AP009351.1,563473,564546,+,NWMN_0489,NWMN_0489,N-terminal deoxyribonuclease,,
BAF66762.1,1736.667935,-0.595057654,0.352322542,-1.688957086,0.091227654,0.382803917,AP009351.1,565103,566557,+,gltX,NWMN_0490,glutamyl-tRNA synthetase,,
BAF66763.1,121.7936599,-0.866744511,0.248637243,-3.485980213,0.000490337,0.008595138,AP009351.1,566980,567627,+,cysE,NWMN_0491,serine acetyltransferase,,
BAF66764.1,147.9625374,-0.627853401,0.252696259,-2.484616925,0.012969091,0.11312045,AP009351.1,567611,569011,+,cysS,NWMN_0492,cysteinyl-tRNA synthetase,,
BAF66765.1,38.47930415,-0.35327258,0.424316893,-0.832567794,0.405088529,0.766363289,AP009351.1,569004,569408,+,NWMN_0493,NWMN_0493,conserved hypothetical protein,,
BAF66766.1,71.68109115,-0.573446899,0.310371824,-1.847612618,0.064658403,0.311483832,AP009351.1,569416,570162,+,NWMN_0494,NWMN_0494,conserved hypothetical protein,,
BAF66767.1,86.40490328,-0.710953458,0.264772413,-2.6851493,0.007249741,0.074330367,AP009351.1,570162,570686,+,NWMN_0495,NWMN_0495,conserved hypothetical protein,,
BAF66768.1,38.86021976,-0.410316777,0.330645131,-1.240958171,0.214621202,0.586645679,AP009351.1,570767,571336,+,NWMN_0496,NWMN_0496,conserved hypothetical protein,,
BAF66769.1,348.7841829,-0.094136825,0.382484061,-0.246119603,0.805589649,0.945528564,AP009351.1,571650,571832,+,secE,NWMN_0497,membrane translocase subunit SecE,,
BAF66770.1,1416.965662,-0.431915408,0.421887664,-1.023768755,0.305944512,0.686198931,AP009351.1,571845,572393,+,nusG,NWMN_0498,transcription antitermination protein,,
BAF66771.1,32938.334,-0.777953966,0.187870857,-4.140897528,3.46E-05,0.000954259,AP009351.1,572565,572996,+,rplK,NWMN_0499,50S ribosomal protein L11,,
BAF66772.1,14396.90806,-0.703364034,0.193758444,-3.630107778,0.000283303,0.005639077,AP009351.1,573204,573896,+,rplA,NWMN_0500,50S ribosomal protein L1,,
BAF66773.1,42006.93417,-0.71364576,0.334477122,-2.133616063,0.032874222,0.208203406,AP009351.1,574168,574668,+,rplJ,NWMN_0501,50S ribosomal protein L10,,
BAF66774.1,17110.99975,-0.666976825,0.317646996,-2.099742274,0.035751519,0.219334894,AP009351.1,574711,575079,+,rplL,NWMN_0502,50S ribosomal protein L7,,
BAF66775.1,442.194935,-0.350236554,0.368088349,-0.951501331,0.341349943,0.720075638,AP009351.1,575254,575862,+,NWMN_0503,NWMN_0503,conserved hypothetical protein,,
BAF66776.1,8702.304096,-0.591185388,0.343984804,-1.718638095,0.085680291,0.370089289,AP009351.1,576077,579628,+,rpoB,NWMN_0504,DNA-directed RNA polymerase beta chain,,
BAF66777.1,7444.739206,-0.249661441,0.306218524,-0.815304827,0.414897847,0.774740216,AP009351.1,579765,583388,+,rpoC,NWMN_0505,DNA-directed RNA polymerase beta%27 chain protein,,
BAF66778.1,4851.67295,-0.669712959,0.265442125,-2.52300933,0.011635531,0.104798294,AP009351.1,583525,583779,+,NWMN_0506,NWMN_0506,conserved hypothetical protein,,
BAF66779.1,16051.51347,-0.796085576,0.420748562,-1.892069629,0.058481704,0.295883634,AP009351.1,583877,584290,+,rpsL,NWMN_0507,30S ribosomal protein S12,,
BAF66780.1,14131.30548,-0.905505864,0.431739307,-2.097344046,0.03596313,0.220071679,AP009351.1,584356,584826,+,rpsG,NWMN_0508,30S ribosomal protein S7,,
BAF66781.1,61286.27361,-0.91543307,0.382836477,-2.391185597,0.016794061,0.134998412,AP009351.1,584949,587030,+,fus,NWMN_0509,translation elongation factor G %28EF-G%29,,
BAF66782.1,95436.13626,-0.484228275,0.256282402,-1.889432407,0.058833912,0.296498731,AP009351.1,587247,588431,+,tufA,NWMN_0510,translation elongation factor Tu %28EF-Tu%29,,
BAF66783.1,1089.739186,0.186006525,0.248321093,0.749056485,0.453823161,0.798340906,AP009351.1,588713,589897,-,NWMN_0511,NWMN_0511,conserved hypothetical protein,,
BAF66784.1,947.633561,0.527797795,0.342840576,1.539484621,0.12368603,0.443052,AP009351.1,590059,591246,+,NWMN_0512,NWMN_0512,conserved hypothetical protein,,
BAF66785.1,15141.22104,-0.903739926,0.245227295,-3.685315398,0.00022842,0.004737527,AP009351.1,591512,592390,+,NWMN_0513,NWMN_0513,conserved hypothetical protein,,
BAF66786.1,103.0304894,0.4362302,0.376192609,1.15959269,0.246214679,0.628593439,AP009351.1,592550,594187,+,araB,NWMN_0514,L-ribulokinase,,
BAF66787.1,734.068839,-0.345544026,0.190272039,-1.816052576,0.069362308,0.325206884,AP009351.1,594401,595366,+,capD,NWMN_0515,polysaccharide biosynthesis protein CapD,,
BAF66788.1,2609.587142,0.330883236,0.239432797,1.381946165,0.166988232,0.518226185,AP009351.1,595701,596777,+,ilvE,NWMN_0516,branched-chain-amino-acid aminotransferase,,
BAF66789.1,143.07727,0.771506935,0.210142377,3.671353421,0.000241269,0.00492879,AP009351.1,597027,597710,+,NWMN_0517,NWMN_0517,haloacid dehalogenase-like hydrolase,,
BAF66790.1,735.315918,-0.42173711,0.264800339,-1.592660762,0.111236315,0.424438861,AP009351.1,597826,598488,-,NWMN_0518,NWMN_0518,conserved hypothetical protein,,
BAF66791.1,158.1524612,0.492820231,0.20692918,2.381588872,0.017238131,0.137955821,AP009351.1,598481,599143,-,NWMN_0519,NWMN_0519,deoxynucleoside kinase,,
BAF66792.1,58.76233414,-0.359730158,0.248082476,-1.450042601,0.14704664,0.489015569,AP009351.1,599165,599635,+,NWMN_0520,NWMN_0520,conserved hypothetical protein,,
BAF66793.1,392.7237933,-0.094460218,0.239290669,-0.394750947,0.6930267,0.911074615,AP009351.1,599782,600651,+,NWMN_0521,NWMN_0521,hydrolase%2C haloacid dehalogenase-like protein,,
BAF66794.1,289.0364956,-0.329980493,0.237313341,-1.390484375,0.164381841,0.514731738,AP009351.1,600672,601238,+,NWMN_0522,NWMN_0522,conserved hypothetical protein,,
BAF66795.1,118.6623199,1.091982806,0.375860678,2.905286107,0.003669175,0.044111281,AP009351.1,601668,604511,+,sdrC,NWMN_0523,Ser-Asp rich fibrinogen%2Fbone sialoprotein-binding protein SdrC,,
BAF66796.1,31.80211415,0.200629185,0.353104649,0.56818619,0.569908548,0.855539668,AP009351.1,604878,608825,+,sdrD,NWMN_0524,Ser-Asp rich fibrinogen%2Fbone sialoprotein-binding protein sdrD,,
BAF66797.1,96.21869875,-0.297794564,0.30278001,-0.983534429,0.325344479,0.706032802,AP009351.1,609219,612719,+,sdrE,NWMN_0525,Ser-Asp rich fibrinogen%2Fbone sialoprotein-binding protein SdrE,,
BAF66798.1,153.664367,-0.344612857,0.243837004,-1.413291874,0.157569922,0.505153367,AP009351.1,612838,614310,+,NWMN_0526,NWMN_0526,conserved hypothetical protein,,
BAF66799.1,625.4843574,-0.140847204,0.304419338,-0.462674956,0.643597372,0.8869663,AP009351.1,614434,615924,-,NWMN_0527,NWMN_0527,glycosyl transferase%2C group 1 family protein,,
BAF66800.1,2.071367396,0.101826148,0.820989235,0.124028603,0.901292628,NA,AP009351.1,615998,616150,+,NWMN_0528,NWMN_0528,conserved hypothetical protein,,
BAF66801.1,1944.223738,-0.183911992,0.180434286,-1.019274083,0.308072865,0.689200472,AP009351.1,616206,617084,-,NWMN_0529,NWMN_0529,conserved hypothetical protein,,
BAF66802.1,1328.089859,0.019583232,0.35890532,0.054563783,0.956485993,0.988126404,AP009351.1,617097,617762,-,NWMN_0530,NWMN_0530,conserved hypothetical protein,,
BAF66803.1,1171.271185,0.18923313,0.182084856,1.039257931,0.298684794,0.679955246,AP009351.1,617776,618144,-,NWMN_0531,NWMN_0531,conserved hypothetical protein,,
BAF66804.1,451.9718833,0.501399016,0.447098767,1.121450233,0.262096264,0.644916323,AP009351.1,618414,619172,+,NWMN_0532,NWMN_0532,glucosamine-6-phosphate isomerase,,
BAF66805.1,1792.785386,0.42110906,0.442941117,0.950711153,0.341751025,0.720075638,AP009351.1,619249,619881,+,NWMN_0533,NWMN_0533,conserved hypothetical protein,,
BAF66806.1,1892.450646,0.491243687,0.228915692,2.145958985,0.031876251,0.204678454,AP009351.1,619883,620431,+,NWMN_0534,NWMN_0534,conserved hypothetical protein,,
BAF66807.1,108.1150543,1.031938118,0.217397433,4.746781513,2.07E-06,8.02E-05,AP009351.1,620535,621191,+,NWMN_0535,NWMN_0535,conserved hypothetical protein,,
BAF66808.1,356.818256,0.258982533,0.30905766,0.837974806,0.402044854,0.763382886,AP009351.1,621693,623093,+,NWMN_0536,NWMN_0536,conserved hypothetical protein,,
BAF66809.1,1.381199595,0.918184842,0.949093516,0.967433479,0.333327381,NA,AP009351.1,623344,623637,+,NWMN_0537,NWMN_0537,conserved hypothetical protein,,
BAF66810.1,69.76499648,0.795884353,0.280954235,2.832790021,0.004614369,0.052567042,AP009351.1,623637,625013,+,vraA,NWMN_0538,long chain fatty acid CoA ligase vraA,,
BAF66811.1,106.2216586,0.088804088,0.258195471,0.343941307,0.730890426,0.925502162,AP009351.1,625015,626154,+,vraB,NWMN_0539,acetyl-CoA C-acetyltransferase VraB,,
BAF66812.1,19.25964638,0.333071556,0.43511863,0.765472984,0.443989948,0.794856477,AP009351.1,626129,626494,+,vraC,NWMN_0540,conserved hypothetical protein,,
BAF66813.1,33.37755536,0.157151301,0.335225055,0.468793421,0.639217303,0.885421062,AP009351.1,626497,626766,+,NWMN_0541,NWMN_0541,conserved hypothetical protein,,
BAF66814.1,538.3993713,0.613646297,0.42781251,1.434381374,0.15146346,0.495457497,AP009351.1,626967,627134,-,NWMN_0542,NWMN_0542,conserved hypothetical protein,,
BAF66815.1,3365.170474,0.206669,0.375717806,0.550064427,0.582275185,0.861913199,AP009351.1,627641,628471,-,thiD,NWMN_0543,phosphomethylpyrimidine kinase,,
BAF66816.1,394.9182813,-0.17714241,0.384608367,-0.460578669,0.645100918,0.887555008,AP009351.1,628655,629311,+,ung,NWMN_0544,uracil-DNA glycosylase,,
BAF66817.1,479.6471879,-0.402651178,0.273807621,-1.470562344,0.141409514,0.47766959,AP009351.1,629312,629692,+,NWMN_0545,NWMN_0545,conserved hypothetical protein,,
BAF66818.1,254.9306219,-0.467835383,0.178342299,-2.62324409,0.008709685,0.085276446,AP009351.1,629825,630193,+,NWMN_0546,NWMN_0546,conserved hypothetical protein,,
BAF66819.1,1842.249129,0.319891605,0.377361749,0.847705431,0.396602041,0.758564783,AP009351.1,630314,631798,+,NWMN_0547,NWMN_0547,conserved hypothetical protein,,
BAF66820.1,158.2050906,-0.032876501,0.371899415,-0.088401593,0.929557495,0.980359725,AP009351.1,631940,632392,-,NWMN_0548,NWMN_0548,conserved hypothetical protein,,
BAF66821.1,294.3710137,0.109747338,0.371646878,0.29530004,0.767764686,0.936853959,AP009351.1,632405,633169,-,NWMN_0549,NWMN_0549,conserved hypothetical protein,,
BAF66822.1,1996.72657,0.757074993,0.369655278,2.048056765,0.040554438,0.23824088,AP009351.1,633718,634470,-,NWMN_0550,NWMN_0550,conserved hypothetical protein,,
BAF66823.1,2283.797988,-0.48597182,0.340644242,-1.42662567,0.153687821,0.497449807,AP009351.1,634638,635624,+,pta,NWMN_0551,phosphate acetyltransferase,,
BAF66824.1,2757.49282,-0.508138815,0.250281221,-2.030271436,0.042328956,0.243402695,AP009351.1,635627,636463,+,NWMN_0552,NWMN_0552,lipoate-protein ligase A protein,,
BAF66825.1,371.977632,0.105744611,0.289022648,0.365869638,0.714462353,0.920491956,AP009351.1,637050,637970,+,mvaK1,NWMN_0553,mevalonate kinase,,
BAF66826.1,651.2248776,-0.366665541,0.323538638,-1.133297537,0.257089326,0.63947179,AP009351.1,637975,638958,+,mvaD,NWMN_0554,mevalonate diphosphate decarboxylase,,
BAF66827.1,1161.346173,-0.391051036,0.135331268,-2.88958377,0.003857522,0.045968805,AP009351.1,638971,640047,+,mvaK2,NWMN_0555,phosphomevalonate kinase,,
BAF66828.1,1280.063948,-0.479619204,0.343820375,-1.394970277,0.163024803,0.514731738,AP009351.1,640212,640565,+,NWMN_0556,NWMN_0556,conserved hypothetical protein,,
BAF66829.1,617.1285136,-2.912693266,0.43988646,-6.621466061,3.56E-11,2.76E-09,AP009351.1,640618,641940,-,NWMN_0557,NWMN_0557,pyridine nucleotide-disulfide oxidoreductase,,
BAF66830.1,469.2703493,-4.050394058,0.587033713,-6.89976396,5.21E-12,4.44E-10,AP009351.1,641927,642367,-,NWMN_0558,NWMN_0558,conserved hypothetical protein,,
BAF66831.1,26.84126584,0.054687917,0.316866012,0.172590038,0.862973683,0.962762634,AP009351.1,642992,644401,+,NWMN_0559,NWMN_0559,conserved hypothetical protein,,
BAF66832.1,9.379519854,-0.37559699,0.488247738,-0.769275434,0.441729818,NA,AP009351.1,644405,645031,+,NWMN_0560,NWMN_0560,conserved hypothetical protein,,
BAF66833.1,20.43846579,0.390913356,0.401933759,0.972581545,0.330761319,0.710137102,AP009351.1,645157,645798,+,NWMN_0561,NWMN_0561,conserved hypothetical protein,,
BAF66834.1,13.60712933,-0.01080085,0.486688735,-0.02219252,0.982294384,0.994392077,AP009351.1,645886,646503,+,NWMN_0562,NWMN_0562,conserved hypothetical protein,,
BAF66835.1,12.91171124,0.396563369,0.47894391,0.827995429,0.407673088,0.768382999,AP009351.1,646578,647207,+,NWMN_0563,NWMN_0563,conserved hypothetical protein,,
BAF66836.1,10.33452423,0.017703279,0.489850384,0.036140176,0.971170587,NA,AP009351.1,647403,648023,+,NWMN_0564,NWMN_0564,conserved hypothetical protein,,
BAF66837.1,11.54559729,-0.31379374,0.490125779,-0.640231046,0.522022402,0.83525604,AP009351.1,648154,648795,+,NWMN_0565,NWMN_0565,conserved hypothetical protein,,
BAF66838.1,17.24554335,-0.714699776,0.457050333,-1.563722253,0.117882809,0.436062074,AP009351.1,648842,649471,+,NWMN_0566,NWMN_0566,conserved hypothetical protein,,
BAF66839.1,12.76241373,0.06349443,0.470628332,0.134914168,0.892679737,0.970116559,AP009351.1,649924,650553,+,NWMN_0567,NWMN_0567,conserved hypothetical protein,,
BAF66840.1,8.023907496,0.476865506,0.524905506,0.908478766,0.363625328,NA,AP009351.1,650668,651030,+,NWMN_0568,NWMN_0568,conserved hypothetical protein,,
BAF66841.1,3.360151704,0.32112956,0.69225766,0.463887333,0.642728468,NA,AP009351.1,650985,651317,+,NWMN_0569,NWMN_0569,conserved hypothetical protein,,
BAF66842.1,31.75855214,0.119922673,0.38556829,0.311028359,0.755779063,0.933678787,AP009351.1,651354,651989,+,NWMN_0570,NWMN_0570,conserved hypothetical protein,,
BAF66843.1,20.5934427,0.33812039,0.516866741,0.65417324,0.5130002,0.830365636,AP009351.1,652224,652850,+,NWMN_0571,NWMN_0571,conserved hypothetical protein,,
BAF66844.1,219.2128589,0.065324615,0.387968529,0.168376068,0.866287435,0.963789475,AP009351.1,653120,654058,+,NWMN_0572,NWMN_0572,aldo%2Fketo reductase family protein,,
BAF66845.1,962.5601483,0.566074807,0.351875189,1.608737487,0.107673755,0.419125491,AP009351.1,654269,654805,+,NWMN_0573,NWMN_0573,conserved hypothetical protein,,
BAF66846.1,167.7062046,0.33749828,0.307856787,1.096283384,0.272954779,0.657810119,AP009351.1,654974,655450,+,NWMN_0574,NWMN_0574,acetyltransferase%2C GNAT family protein,,
BAF66847.1,815.3617537,-0.11591376,0.296445568,-0.391011952,0.695788401,0.912602987,AP009351.1,655490,656785,+,NWMN_0575,NWMN_0575,conserved hypothetical protein,,
BAF66848.1,357.1846346,0.16337703,0.217449544,0.751333054,0.452452241,0.798340906,AP009351.1,656813,657334,+,NWMN_0576,NWMN_0576,conserved hypothetical protein,,
BAF66849.1,4475.433402,-0.383893617,0.168333279,-2.28055688,0.022574681,0.165514124,AP009351.1,657833,658843,+,adh1,NWMN_0577,alcohol dehydrogenase,,
BAF66850.1,133.2202123,0.015356009,0.31518155,0.048721155,0.961141516,0.988533187,AP009351.1,659106,659534,+,NWMN_0578,NWMN_0578,conserved hypothetical protein,,
BAF66851.1,1546.17329,-0.734423351,0.171474494,-4.282988885,1.84E-05,0.000556681,AP009351.1,659531,661192,+,argS,NWMN_0579,arginyl-tRNA synthetase,,
BAF66852.1,18.59365111,-0.436583346,0.373050321,-1.170306849,0.241877507,0.623807485,AP009351.1,661581,662216,+,NWMN_0580,NWMN_0580,conserved hypothetical protein,,
BAF66853.1,534.0291872,-0.358955774,0.170715762,-2.102651616,0.035496234,0.21869222,AP009351.1,662595,663482,+,NWMN_0581,NWMN_0581,iron compound ABC transporter%2C iron compound-binding protein,,
BAF66854.1,102.2854531,0.215629678,0.219617371,0.981842546,0.326177424,0.70643608,AP009351.1,663630,664580,+,NWMN_0582,NWMN_0582,iron compound ABC transporter%2C permease protein,,
BAF66855.1,90.0114883,0.026162787,0.428905401,0.060998968,0.951360031,0.986770454,AP009351.1,664635,665354,+,NWMN_0583,NWMN_0583,conserved hypothetical protein,,
BAF66856.1,79.34479505,-0.304288277,0.421166027,-0.722490082,0.469993221,0.806143651,AP009351.1,665338,666138,+,NWMN_0584,NWMN_0584,hydrolase,,
BAF66857.1,6104.126225,-0.316819611,0.317168055,-0.998901391,0.317842462,0.698687678,AP009351.1,666274,666780,+,NWMN_0585,NWMN_0585,conserved hypothetical protein,,
BAF66858.1,870.0292575,-0.055321801,0.191594882,-0.288743628,0.772777574,0.936953441,AP009351.1,666942,667658,+,NWMN_0586,NWMN_0586,conserved hypothetical protein,,
BAF66859.1,505.3111987,0.032923334,0.272050526,0.12101919,0.903675835,0.974127056,AP009351.1,667827,668615,+,NWMN_0587,NWMN_0587,conserved hypothetical protein,,
BAF66860.1,1110.067399,-0.389491214,0.272417754,-1.429757086,0.15278675,0.496418636,AP009351.1,668866,669240,-,sarA,NWMN_0588,staphylococcal accessory regulator A,,
BAF66861.1,25.72801772,-1.472767398,0.378555253,-3.890495206,0.00010004,0.002448723,AP009351.1,669950,670099,-,NWMN_0589,NWMN_0589,conserved hypothetical protein,,
BAF66862.1,218.7688295,0.05026678,0.36317213,0.138410345,0.889916122,0.970116559,AP009351.1,670188,671117,-,NWMN_0590,NWMN_0590,conserved hypothetical protein,,
BAF66863.1,38.536917,-0.34917279,0.311897111,-1.119512741,0.262921459,0.646185077,AP009351.1,671312,671653,-,NWMN_0591,NWMN_0591,conserved hypothetical protein,,
BAF66864.1,55.64637099,-0.767165946,0.280223835,-2.737689841,0.00618724,0.066006561,AP009351.1,671915,672475,+,NWMN_0592,NWMN_0592,site-specific recombinase,,
BAF66865.1,542.0628775,-0.271033999,0.310421341,-0.873116513,0.382599574,0.751848909,AP009351.1,672494,674896,+,mnhA,NWMN_0593,Na%2B%2FH%2B antiporter%2C MnhA component,,
BAF66866.1,62.37010055,-0.399472323,0.421391269,-0.947984337,0.343137428,0.72101191,AP009351.1,674883,675308,+,mnhB,NWMN_0594,Na%2B%2FH%2B antiporter%2C MnhB component,,
BAF66867.1,71.40323637,-0.394567962,0.332832311,-1.18548575,0.235825445,0.61579792,AP009351.1,675305,675649,+,mnhC,NWMN_0595,Na%2B%2FH%2B antiporter%2C MnhC component,,
BAF66868.1,374.3567069,-0.418790685,0.240375979,-1.742231843,0.081467884,0.359623462,AP009351.1,675639,677135,+,mnhD,NWMN_0596,Na%2B%2FH%2B antiporter%2C MnhD component,,
BAF66869.1,149.0610522,-0.22923911,0.259035056,-0.884973309,0.376171027,0.747117456,AP009351.1,677136,677618,+,mnhE,NWMN_0597,Na%2B%2FH%2B antiporter%2C MnhE component,,
BAF66870.1,51.80168234,0.142295458,0.362318042,0.39273633,0.694514235,0.911591873,AP009351.1,677615,677917,+,mnhF,NWMN_0598,Na%2B%2FH%2B antiporter%2C MnhF component,,
BAF66871.1,289.6806885,-0.285257642,0.26633363,-1.071053781,0.284145248,0.667550921,AP009351.1,677883,678329,+,mnhG,NWMN_0599,Na%2B%2FH%2B antiporter%2C MnhG component,,
BAF66872.1,1412.298571,0.375587229,0.233546762,1.608188552,0.10779389,0.419292767,AP009351.1,678669,680711,+,NWMN_0600,NWMN_0600,conserved hypothetical protein,,
BAF66873.1,98.43838991,0.334502818,0.339136083,0.986338034,0.323967262,0.70489206,AP009351.1,681871,682800,-,NWMN_0601,NWMN_0601,conserved hypothetical protein,,
BAF66874.1,60.28937157,1.324199547,0.303192857,4.367515647,1.26E-05,0.000408909,AP009351.1,682797,683633,-,NWMN_0602,NWMN_0602,conserved hypothetical protein,,
BAF66875.1,170.234238,1.186442068,0.370047105,3.206191996,0.001345042,0.020275867,AP009351.1,683627,684370,-,NWMN_0603,NWMN_0603,ABC transporter ATP-binding protein,,
BAF66876.1,1668.412639,0.286061739,0.259787079,1.101139211,0.270836074,0.65409921,AP009351.1,684492,685136,+,feoA,NWMN_0604,iron dependent repressor,,
BAF66877.1,162.6756292,0.245068571,0.380761477,0.643627536,0.51981699,0.83274927,AP009351.1,685382,685978,-,NWMN_0605,NWMN_0605,conserved hypothetical protein,,
BAF66878.1,1099.14015,0.83597382,0.303002616,2.758965689,0.005798462,0.063398076,AP009351.1,686202,686966,+,tagA,NWMN_0606,teichoic acid biosynthesis protein A,,
