Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,molecule,begin,end,strand,id,locus,description
BAF66943.1,1979.222684,-0.194877192,0.259176417,-0.751909429,0.452105527,6.65E-01,AP009351.1,753023,754372,+,NWMN_0671,NWMN_0671,conserved hypothetical protein
BAF66944.1,200.409234,-1.135576836,0.30846975,-3.681323169,0.000232027,2.96E-03,AP009351.1,754594,755433,+,NWMN_0672,NWMN_0672,aldo%2Fketo reductase family protein
BAF66945.1,253.5793496,0.420037236,0.244941322,1.714848406,0.086373024,2.59E-01,AP009351.1,755565,756548,+,NWMN_0673,NWMN_0673,conserved hypothetical protein
BAF66946.1,7147.76657,-0.864440996,0.250455779,-3.451471551,0.000557539,6.18E-03,AP009351.1,756620,757675,-,saeS,NWMN_0674,sensor histidine kinase SaeS
BAF66947.1,5427.812101,-1.131035847,0.361241237,-3.130971024,0.001742294,1.65E-02,AP009351.1,757675,758361,-,saeR,NWMN_0675,DNA-binding response regulator SaeR
BAF66948.1,3100.062923,-1.27712854,0.319293872,-3.999852965,6.34E-05,9.95E-04,AP009351.1,758336,758809,-,NWMN_0676,NWMN_0676,conserved hypothetical protein
BAF66949.1,12823.78766,-1.50933053,0.175770193,-8.586953823,8.93E-18,9.38E-16,AP009351.1,759151,759591,-,NWMN_0677,NWMN_0677,conserved hypothetical protein
BAF66950.1,299.2296026,0.769803101,0.354036206,2.174362642,0.029677911,1.32E-01,AP009351.1,759871,760455,-,NWMN_0678,NWMN_0678,conserved hypothetical protein
BAF66951.1,623.0842484,-0.360020678,0.392910532,-0.916291747,0.359513896,5.89E-01,AP009351.1,760554,761267,-,NWMN_0679,NWMN_0679,conserved hypothetical protein
BAF66952.1,183.7856194,-0.331326338,0.383434794,-0.864100867,0.387532483,6.13E-01,AP009351.1,761271,761690,-,NWMN_0680,NWMN_0680,6-pyruvoyl tetrahydropterin synthase
BAF66953.1,333.4970499,-0.058725186,0.423089738,-0.138800781,0.889607576,9.42E-01,AP009351.1,761692,762360,-,NWMN_0681,NWMN_0681,conserved hypothetical protein
BAF66954.1,240.8462948,0.248229574,0.221089382,1.122756651,0.261540861,4.90E-01,AP009351.1,762711,763304,+,pabA,NWMN_0682,para-aminobenzoate synthase component II
BAF66955.1,781.1357564,-0.398157745,0.333840993,-1.192656845,0.233003793,4.59E-01,AP009351.1,763288,764439,+,pabB,NWMN_0683,anthranilate%2Fpara-aminobenzoate synthase component I
BAF66956.1,321.6537191,-0.507971251,0.381115506,-1.332853803,0.182579786,4.04E-01,AP009351.1,764439,765047,+,pabC,NWMN_0684,4-amino-4-deoxychorismate lyase
BAF66957.1,551.623958,-0.613105697,0.378527754,-1.619711341,0.105294299,2.94E-01,AP009351.1,765407,766117,+,NWMN_0685,NWMN_0685,conserved hypothetical protein
BAF66958.1,964.3762592,-0.787050626,0.387942474,-2.028781788,0.042480521,1.69E-01,AP009351.1,766101,767105,+,NWMN_0686,NWMN_0686,allophanate hydrolase subunit 2
BAF66959.1,6655.830852,-0.077150415,0.244694685,-0.315292566,0.752539529,8.68E-01,AP009351.1,767579,769519,+,NWMN_0687,NWMN_0687,conserved hypothetical protein
BAF66960.1,436.2975736,-0.094226905,0.316703774,-0.297523784,0.766066653,8.77E-01,AP009351.1,769790,771673,+,NWMN_0688,NWMN_0688,ABC transporter%2C ATP-binding protein
BAF66961.1,665.9218517,-0.122858671,0.203728927,-0.603049716,0.546475617,7.36E-01,AP009351.1,771685,773466,+,recQ,NWMN_0689,ATP-dependent DNA helicase
BAF66962.1,1059.347742,-0.533234228,0.257406242,-2.07156681,0.038305858,1.58E-01,AP009351.1,773688,774665,+,NWMN_0690,NWMN_0690,osmoprotectant ABC transporter%2C ATP-binding protein
BAF66963.1,1655.905498,-0.875957458,0.330338015,-2.651700437,0.008008756,5.21E-02,AP009351.1,774658,776172,+,NWMN_0691,NWMN_0691,ABC transporter permease protein
BAF66964.1,229.9951885,-0.356690324,0.242522872,-1.470749218,0.14135895,3.51E-01,AP009351.1,776412,777470,+,hisC,NWMN_0692,histidinol-phosphate aminotransferase
BAF66965.1,955.6768357,0.634744702,0.307950615,2.061189916,0.039284925,1.60E-01,AP009351.1,777821,778363,+,NWMN_0693,NWMN_0693,conserved hypothetical protein
BAF66966.1,11.91628217,0.246143954,0.478704136,0.514188067,0.60712051,7.75E-01,AP009351.1,778439,778609,-,NWMN_0694,NWMN_0694,conserved hypothetical protein
BAF66967.1,380.1983636,-0.427579995,0.363503802,-1.176273791,0.239485485,4.66E-01,AP009351.1,779043,779960,-,NWMN_0695,NWMN_0695,conserved hypothetical protein
BAF66968.1,1430.004205,0.524257076,0.303272207,1.728668382,0.083868463,2.55E-01,AP009351.1,780230,781735,-,NWMN_0696,NWMN_0696,di-%2Ftripeptide ABC transporter
BAF66969.1,396.2440781,0.147898878,0.329415667,0.448973419,0.653450832,8.07E-01,AP009351.1,782076,782576,-,NWMN_0697,NWMN_0697,7-cyano-7-deazaguanine reductase
BAF66970.1,1333.640733,0.316595638,0.274652707,1.152712608,0.249028365,4.76E-01,AP009351.1,782596,783462,-,NWMN_0698,NWMN_0698,conserved hypothetical protein
BAF66971.1,631.1296879,0.837913239,0.268095239,3.125431251,0.001775446,1.67E-02,AP009351.1,784263,784661,+,nrdI,NWMN_0699,ribonucleotide reduction-related NrdI protein
BAF66972.1,2745.458669,-0.440899078,0.363917185,-1.211536845,0.225689722,4.52E-01,AP009351.1,784573,786729,+,nrdE,NWMN_0700,ribonucleotide-diphosphate reductase alpha chain
BAF66973.1,2475.814383,-0.121476371,0.144214746,-0.842329754,0.399603401,6.23E-01,AP009351.1,786847,787818,+,nrdF,NWMN_0701,ribonucleotide-diphosphate reductase beta chain
BAF66974.1,132.9156518,0.238913941,0.290421636,0.822645121,0.410709832,6.32E-01,AP009351.1,788526,789497,+,NWMN_0702,NWMN_0702,ferrichrome ABC transporter permease
BAF66975.1,102.9421755,-0.23784643,0.288968735,-0.823087072,0.41045848,6.32E-01,AP009351.1,789484,790440,+,NWMN_0703,NWMN_0703,iron compound ABC transporter%2C permease protein
BAF66976.1,69.99923199,-0.697253,0.399980215,-1.743218723,0.081295416,2.51E-01,AP009351.1,790437,791198,+,NWMN_0704,NWMN_0704,ABC transporter ATP-binding protein
BAF66977.1,575.6734808,-1.186648264,0.217387638,-5.458674078,4.80E-08,1.55E-06,AP009351.1,791317,792345,+,NWMN_0705,NWMN_0705,ferrichrome ABC transporter lipoprotein
BAF66978.1,350.0333165,-0.355331235,0.203872025,-1.742913162,0.081348785,2.51E-01,AP009351.1,792662,792976,-,NWMN_0706,NWMN_0706,conserved hypothetical protein
BAF66979.1,592.7671648,-0.352889337,0.172242267,-2.048796407,0.040482027,1.63E-01,AP009351.1,792994,793917,-,murB,NWMN_0707,UDP-N-acetylenolpyruvoylglucosamine reductase
BAF66980.1,26.34261783,-0.380047655,0.465934004,-0.815668425,0.414689803,6.36E-01,AP009351.1,794044,794562,-,NWMN_0708,NWMN_0708,conserved hypothetical protein
BAF66981.1,157.2937183,-0.249061619,0.228845214,-1.088340957,0.276444616,5.06E-01,AP009351.1,794682,795560,+,NWMN_0709,NWMN_0709,conserved hypothetical protein
BAF66982.1,534.2393583,1.446170176,0.38829928,3.724369961,0.000195804,2.60E-03,AP009351.1,795714,796034,+,NWMN_0710,NWMN_0710,conserved hypothetical protein
BAF66983.1,804.9103339,0.13713703,0.232670025,0.589405661,0.55558918,7.43E-01,AP009351.1,796459,797583,+,NWMN_0711,NWMN_0711,conserved hypothetical protein
BAF66984.1,537.6120273,-0.483983368,0.181116986,-2.672214119,0.007535255,5.00E-02,AP009351.1,797772,798998,-,pepT,NWMN_0712,peptidase T
BAF66985.1,96.50121207,-0.563583162,0.365175019,-1.543323428,0.122752322,3.22E-01,AP009351.1,799012,799506,-,NWMN_0713,NWMN_0713,conserved hypothetical protein
BAF66986.1,74.90552486,0.055481826,0.311967667,0.177844797,0.858844865,9.27E-01,AP009351.1,799524,800285,-,NWMN_0714,NWMN_0714,conserved hypothetical protein
BAF66987.1,734.3366655,-0.299668947,0.17267806,-1.735419932,0.082666452,2.53E-01,AP009351.1,800481,801551,-,NWMN_0715,NWMN_0715,GGDEF domain protein
BAF66988.1,896.3596452,0.551818007,0.284628003,1.93873407,0.052533728,1.93E-01,AP009351.1,801869,802924,+,llm,NWMN_0716,lipophilic regulator protein
BAF66989.1,594.9798366,0.58258168,0.386243952,1.508325702,0.131471188,3.36E-01,AP009351.1,803094,803735,-,NWMN_0717,NWMN_0717,conserved hypothetical protein
BAF66990.1,2133.734699,-0.625842123,0.251040179,-2.492995843,0.012667033,7.29E-02,AP009351.1,803879,804745,+,NWMN_0718,NWMN_0718,conserved hypothetical protein
BAF66991.1,26.56178823,-0.179935637,0.479830491,-0.374998339,0.707661702,8.42E-01,AP009351.1,805109,806191,+,NWMN_0719,NWMN_0719,conserved hypothetical protein
BAF66992.1,16.20635935,-0.126605172,0.477072747,-0.265379176,0.790717376,8.87E-01,AP009351.1,806184,806858,+,NWMN_0720,NWMN_0720,conserved hypothetical protein
BAF66993.1,4501.208627,-0.4969739,0.427732184,-1.161881005,0.245283804,4.72E-01,AP009351.1,806919,807491,+,NWMN_0721,NWMN_0721,sigma 54 modulation protein
BAF66994.1,4891.178609,-0.690157267,0.168019643,-4.107598693,4.00E-05,6.69E-04,AP009351.1,807905,810436,+,secA,NWMN_0722,preprotein translocase SecA subunit
BAF66995.1,885.7200528,-0.406523484,0.149779599,-2.71414457,0.006644716,4.56E-02,AP009351.1,810866,811861,+,prfB,NWMN_0723,peptide chain release factor 2%2C programmed frameshift
BAF66996.1,49.26886605,-0.574160188,0.272042944,-2.110549824,0.034811024,1.49E-01,AP009351.1,812270,813109,+,NWMN_0724,NWMN_0724,conserved hypothetical protein
BAF66997.1,288.2126408,0.303078049,0.217127147,1.395855159,0.162758116,3.79E-01,AP009351.1,813283,813933,+,NWMN_0725,NWMN_0725,conserved hypothetical protein
BAF66998.1,292.4261022,-0.180183541,0.272480808,-0.661270577,0.508438807,7.10E-01,AP009351.1,814435,816420,+,uvrB,NWMN_0726,excinuclease ABC subunit B
BAF66999.1,944.4154327,-0.517837341,0.147896074,-3.501359616,0.000462891,5.25E-03,AP009351.1,816428,819274,+,uvrA,NWMN_0727,excinuclease ABC subunit A
BAF67000.1,1233.482824,-1.093687245,0.280335739,-3.901347892,9.57E-05,1.37E-03,AP009351.1,819936,820868,+,hprK,NWMN_0728,HPr kinase%2Fphosphatase
BAF67001.1,626.3429497,-1.004429351,0.405666608,-2.475997114,0.013286465,7.55E-02,AP009351.1,820874,821713,+,lgt,NWMN_0729,prolipoprotein diacylglyceryl transferase
BAF67002.1,414.5037555,-1.067827304,0.259235446,-4.119140808,3.80E-05,6.40E-04,AP009351.1,821721,822206,+,NWMN_0730,NWMN_0730,conserved hypothetical protein
BAF67003.1,422.7176139,-0.838802814,0.385539319,-2.175660878,0.029580628,1.32E-01,AP009351.1,822214,823653,+,NWMN_0731,NWMN_0731,TPR domain protein
BAF67004.1,6004.713632,-0.478379077,0.230733207,-2.073299654,0.038144401,1.58E-01,AP009351.1,823720,824655,+,trxB,NWMN_0732,thioredoxin reductase
BAF67005.1,748.761657,-0.260159383,0.239227436,-1.087498106,0.276816735,5.07E-01,AP009351.1,825535,826446,+,NWMN_0733,NWMN_0733,conserved hypothetical protein
BAF67006.1,610.2625132,-0.529592658,0.464066205,-1.141200656,0.253786431,4.81E-01,AP009351.1,826443,827438,+,NWMN_0734,NWMN_0734,conserved hypothetical protein
BAF67007.1,1844.979375,-0.008324807,0.14994151,-0.055520364,0.955723907,9.76E-01,AP009351.1,827548,828492,+,NWMN_0735,NWMN_0735,conserved hypothetical protein
BAF67008.1,8220.460422,0.40959874,0.351994255,1.163651778,0.244565159,4.72E-01,AP009351.1,829065,829652,+,clpP,NWMN_0736,ATP-dependent Clp protease proteolytic subunit
BAF67009.1,329.1992039,-0.621803031,0.247771546,-2.509582082,0.012087412,7.04E-02,AP009351.1,829895,830797,-,NWMN_0737,NWMN_0737,conserved hypothetical protein
BAF67010.1,637.6665472,-0.681877976,0.348713204,-1.955411977,0.050534464,1.89E-01,AP009351.1,831501,832130,+,NWMN_0738,NWMN_0738,conserved hypothetical protein
BAF67011.1,1.347448756,0.361744931,0.969348123,0.373183712,0.709011718,NA,AP009351.1,832276,832482,-,NWMN_0739,NWMN_0739,conserved hypothetical protein
BAF67012.1,27800.02575,-1.409454714,0.140541656,-10.02873276,1.14E-23,1.72E-21,AP009351.1,832890,833903,+,gapR,NWMN_0740,glycolytic operon regulator
BAF67013.1,31182.12618,-1.330052215,0.235224181,-5.654402583,1.56E-08,5.58E-07,AP009351.1,833956,834966,+,gapA,NWMN_0741,glyceraldehyde 3-phosphate dehydrogenase 1
BAF67014.1,4642.05468,-1.09876909,0.385088439,-2.853290256,0.004326908,3.34E-02,AP009351.1,835105,836295,+,pgk,NWMN_0742,phosphoglycerate kinase
BAF67015.1,3057.965483,-0.973680448,0.42383232,-2.297324675,0.021600255,1.08E-01,AP009351.1,836417,837178,+,tpi,NWMN_0743,triosephosphate isomerase
BAF67016.1,7077.7422,-0.845194029,0.441159581,-1.915846478,0.05538464,1.98E-01,AP009351.1,837181,838698,+,pgm,NWMN_0744,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase
BAF67017.1,18990.36422,-0.852430097,0.310093365,-2.748946591,0.005978713,4.25E-02,AP009351.1,838828,840132,+,eno,NWMN_0745,enolase
BAF67018.1,729.7987629,0.24853876,0.365689721,0.679643821,0.496730016,7.01E-01,AP009351.1,840472,840930,+,NWMN_0746,NWMN_0746,conserved hypothetical protein
BAF67019.1,1075.170303,0.582662935,0.353667591,1.647487501,0.099457883,2.83E-01,AP009351.1,840997,841230,+,secG,NWMN_0747,preprotein translocase%2C SecG subunit
BAF67020.1,911.2130892,0.048970301,0.285819717,0.171332831,0.863962067,9.30E-01,AP009351.1,841346,842086,+,NWMN_0748,NWMN_0748,conserved hypothetical protein
BAF67021.1,2298.815181,-0.337639706,0.429317845,-0.78645626,0.431600235,6.47E-01,AP009351.1,842120,844492,+,NWMN_0749,NWMN_0749,ribonuclease R
BAF67022.1,975.2339805,-0.306705869,0.198896239,-1.542039562,0.12306398,3.22E-01,AP009351.1,844514,844978,+,ssrP,NWMN_0750,tmRNA-binding protein
BAF67023.1,13.8982629,0.818335307,0.516026606,1.585839369,0.112775752,3.06E-01,AP009351.1,845805,845999,-,NWMN_0751,NWMN_0751,conserved hypothetical protein
BAF67024.1,44.57924911,0.271526448,0.344314902,0.788599175,0.430346314,6.47E-01,AP009351.1,846300,846623,-,NWMN_0752,NWMN_0752,conserved hypothetical protein
BAF67025.1,15.88910364,-0.481441298,0.42997614,-1.119693054,0.262844586,4.91E-01,AP009351.1,846977,847705,-,NWMN_0753,NWMN_0753,conserved hypothetical protein
BAF67026.1,7.872644278,-0.773138614,0.62113011,-1.244728925,0.21323141,4.38E-01,AP009351.1,848304,848825,+,NWMN_0754,NWMN_0754,conserved hypothetical protein
BAF67027.1,15.77397959,-0.463957664,0.526239687,-0.881647043,0.377967707,6.04E-01,AP009351.1,848964,849494,+,NWMN_0755,NWMN_0755,conserved hypothetical protein
BAF67028.1,2510.620446,-1.973129174,0.323782994,-6.093986429,1.10E-09,5.40E-08,AP009351.1,849757,852558,+,clfA,NWMN_0756,clumping factor A
BAF67029.1,1312.32813,-1.675814879,0.216805722,-7.729569427,1.08E-14,9.20E-13,AP009351.1,852779,854305,+,NWMN_0757,NWMN_0757,secreted von Willebrand factor-binding protein precursor
BAF67030.1,8842.199408,-2.790481701,0.445082785,-6.269579041,3.62E-10,1.89E-08,AP009351.1,854656,855678,+,ssp,NWMN_0758,extracellular matrix and plasma binding protein
BAF67031.1,6626.196691,-1.331604345,0.180315735,-7.384848269,1.53E-13,1.14E-11,AP009351.1,856013,856483,+,NWMN_0759,NWMN_0759,conserved hypothetical protein
BAF67032.1,56.89816728,1.640207562,0.369434495,4.43977913,9.01E-06,1.79E-04,AP009351.1,856824,857510,+,NWMN_0760,NWMN_0760,thermonuclease precursor
BAF67033.1,34001.65809,0.274504248,0.394369899,0.696057811,0.486392626,6.93E-01,AP009351.1,857867,858067,+,cspC,NWMN_0761,cold-shock protein CSD family protein
BAF67034.1,126.3992303,-0.800815785,0.283431708,-2.825427653,0.004721755,3.57E-02,AP009351.1,858563,858781,-,NWMN_0762,NWMN_0762,conserved hypothetical protein
BAF67035.1,166.6430476,-0.618412508,0.31707736,-1.950352139,0.051134162,1.90E-01,AP009351.1,858843,859127,-,NWMN_0763,NWMN_0763,conserved hypothetical protein
BAF67036.1,116.9697304,-0.548809781,0.316070448,-1.736352718,0.082501487,2.52E-01,AP009351.1,859215,859784,-,NWMN_0764,NWMN_0764,conserved hypothetical protein
BAF67037.1,18.63067295,0.542235657,0.45029384,1.204181824,0.22851931,4.54E-01,AP009351.1,859972,860160,-,NWMN_0765,NWMN_0765,conserved hypothetical protein
BAF67038.1,82.81547711,0.522765075,0.251231385,2.080811185,0.037451192,1.56E-01,AP009351.1,860790,860993,+,NWMN_0766,NWMN_0766,conserved hypothetical protein
BAF67039.1,829.7738058,0.248614158,0.4803393,0.517580299,0.60475113,7.73E-01,AP009351.1,860990,861226,-,NWMN_0767,NWMN_0767,conserved hypothetical protein
BAF67040.1,807.4063973,0.186221175,0.195721637,0.951459318,0.341371261,5.71E-01,AP009351.1,861451,862032,+,NWMN_0768,NWMN_0768,conserved hypothetical protein
BAF67041.1,1576.496824,0.610201068,0.423109542,1.442182241,0.149250969,3.61E-01,AP009351.1,862105,862722,-,NWMN_0769,NWMN_0769,conserved hypothetical protein
BAF67042.1,534.8495381,0.296529752,0.40017117,0.741007284,0.458689024,6.70E-01,AP009351.1,862877,863371,-,NWMN_0770,NWMN_0770,conserved hypothetical protein
BAF67043.1,296.3775346,0.221379836,0.384926892,0.575121773,0.565208944,7.49E-01,AP009351.1,863770,864192,-,NWMN_0771,NWMN_0771,OsmC-like protein
BAF67044.1,158.7449671,-0.239924549,0.218817822,-1.096457989,0.272878399,5.02E-01,AP009351.1,864340,865056,+,NWMN_0772,NWMN_0772,3-dehydroquinate dehydratase%2C type I
BAF67045.1,1387.322141,1.185943246,0.286709662,4.136390938,3.53E-05,6.00E-04,AP009351.1,865139,865678,+,NWMN_0773,NWMN_0773,nitroreductase family protein
BAF67046.1,3802.95067,0.579526611,0.431391219,1.343389912,0.179145752,4.00E-01,AP009351.1,865828,866148,-,NWMN_0774,NWMN_0774,conserved hypothetical protein
BAF67047.1,782.1419775,-0.301487212,0.152174574,-1.981193071,0.047569626,1.81E-01,AP009351.1,866292,866648,+,NWMN_0775,NWMN_0775,conserved hypothetical protein
BAF67048.1,1906.470591,0.251710539,0.322013261,0.781677557,0.434404095,6.50E-01,AP009351.1,866806,867186,+,NWMN_0776,NWMN_0776,glycine cleavage system H protein
BAF67049.1,66.95511318,-0.301305323,0.3493318,-0.862519025,0.388401969,6.13E-01,AP009351.1,867365,868243,+,NWMN_0777,NWMN_0777,conserved hypothetical protein
BAF67050.1,106.5813763,0.421056852,0.332280932,1.267171273,0.205094055,4.29E-01,AP009351.1,868976,869371,+,NWMN_0778,NWMN_0778,conserved hypothetical protein
BAF67051.1,63.36310832,0.771490369,0.355407305,2.170721755,0.029952212,1.33E-01,AP009351.1,869364,869660,+,NWMN_0779,NWMN_0779,conserved hypothetical protein
BAF67052.1,366.4014588,-0.496478661,0.191256202,-2.595882676,0.009434828,5.91E-02,AP009351.1,869910,870935,+,NWMN_0780,NWMN_0780,ABC transporter ATP-binding protein
BAF67053.1,99.89169884,-0.911027477,0.433120074,-2.103406265,0.035430271,1.50E-01,AP009351.1,870928,871623,+,NWMN_0781,NWMN_0781,ABC transporter permease protein
BAF67054.1,244.5913083,-0.810691171,0.33613153,-2.411827213,0.015872802,8.59E-02,AP009351.1,871641,872462,+,NWMN_0782,NWMN_0782,ABC transporter%2C substrate-binding protein
BAF67055.1,14349.67809,-0.24110357,0.436662275,-0.552151132,0.580844812,7.59E-01,AP009351.1,872816,873010,+,NWMN_0783,NWMN_0783,CsbD-like superfamily protein
BAF67056.1,1460.549571,0.744576953,0.392302919,1.897964346,0.057700779,2.03E-01,AP009351.1,873243,874094,-,NWMN_0784,NWMN_0784,conserved hypothetical protein
BAF67057.1,712.7997357,-0.443814587,0.288532406,-1.538179343,0.12400477,3.23E-01,AP009351.1,874422,875183,+,sufC,NWMN_0785,FeS assembly ATPase SufC
BAF67058.1,1059.934051,-0.572819881,0.363551318,-1.575623174,0.115112672,3.09E-01,AP009351.1,875281,876588,+,sufD,NWMN_0786,FeS assembly protein SufD
BAF67059.1,999.5370786,-0.291731234,0.325127255,-0.897283234,0.369567801,5.98E-01,AP009351.1,876694,877944,+,sufS,NWMN_0787,cysteine desulfurase SufS subfamily protein
BAF67060.1,762.6314992,-0.430821287,0.463887896,-0.928718535,0.353034973,5.83E-01,AP009351.1,877934,878398,+,nifU,NWMN_0788,nitrogen fixation protein NifU homolog
BAF67061.1,3737.276629,-0.227023711,0.154388102,-1.470474138,0.141433385,3.51E-01,AP009351.1,878549,879946,+,sufB,NWMN_0789,FeS assembly protein SufB
BAF67062.1,45.76550412,0.481348479,0.432870589,1.111991648,0.266141741,4.94E-01,AP009351.1,880276,880590,-,NWMN_0790,NWMN_0790,conserved hypothetical protein
BAF67063.1,294.7095378,-0.650138935,0.308916519,-2.104578081,0.035328051,1.50E-01,AP009351.1,880955,881995,+,NWMN_0791,NWMN_0791,conserved hypothetical protein
BAF67064.1,361.2178747,0.158025046,0.286497426,0.551575796,0.581239023,7.59E-01,AP009351.1,882009,883076,+,NWMN_0792,NWMN_0792,conserved hypothetical protein
BAF67065.1,446.9391181,-0.000219689,0.206009055,-0.001066403,0.999149134,1.00E+00,AP009351.1,883289,884137,+,NWMN_0793,NWMN_0793,conserved hypothetical protein
BAF67066.1,259.2919596,-0.565273383,0.356394262,-1.58609002,0.11271889,3.06E-01,AP009351.1,884150,884977,+,NWMN_0794,NWMN_0794,conserved hypothetical protein
BAF67067.1,483.8581233,-0.359435802,0.484343729,-0.74210892,0.458021346,6.70E-01,AP009351.1,885004,886323,+,NWMN_0795,NWMN_0795,conserved hypothetical protein
BAF67068.1,4204.919612,-0.017197341,0.201380518,-0.085397241,0.931945586,9.63E-01,AP009351.1,886407,887324,+,lipA,NWMN_0796,lipoic acid synthetase
BAF67069.1,214.5750238,-0.41880235,0.238899733,-1.75304654,0.079594019,2.48E-01,AP009351.1,887445,887837,+,NWMN_0797,NWMN_0797,conserved hypothetical protein
BAF67070.1,280.4428572,0.860322178,0.421460236,2.041289084,0.041222101,1.66E-01,AP009351.1,887916,888182,-,NWMN_0798,NWMN_0798,conserved hypothetical protein
BAF67071.1,250.7388322,-1.025931062,0.367242383,-2.793607464,0.005212371,3.86E-02,AP009351.1,888280,888714,+,NWMN_0799,NWMN_0799,conserved hypothetical protein
BAF67072.1,194.6212297,-1.109124346,0.377347138,-2.939267945,0.003289885,2.70E-02,AP009351.1,888714,889493,+,NWMN_0800,NWMN_0800,hydrolase
BAF67073.1,568.5065464,-0.976047981,0.316690317,-3.082026602,0.002055965,1.88E-02,AP009351.1,889526,890485,+,NWMN_0801,NWMN_0801,D-isomer specific 2-hydroxyacid dehydrogenase
BAF67074.1,89.0385613,-0.639673608,0.264700017,-2.416598287,0.015666296,8.51E-02,AP009351.1,890897,891049,+,NWMN_0802,NWMN_0802,conserved hypothetical protein
BAF67075.1,790.2456072,-0.886079761,0.30753568,-2.881225879,0.003961316,3.10E-02,AP009351.1,891065,892522,+,dltA,NWMN_0803,D-alanine-D-alanyl carrier protein ligase
BAF67076.1,527.5082738,-0.596465141,0.297506665,-2.004879928,0.044975885,1.75E-01,AP009351.1,892519,893733,+,dltB,NWMN_0804,D-alanine lipoteichoic acid and wall teichoic acid esterification protein
BAF67077.1,333.9444514,-0.640024167,0.364935922,-1.753798758,0.079464996,2.48E-01,AP009351.1,893751,893987,+,dltC,NWMN_0805,D-alanyl carrier protein
BAF67078.1,807.5104994,-0.181941035,0.299938815,-0.606593833,0.544120494,7.35E-01,AP009351.1,893984,895159,+,dltD,NWMN_0806,D-alanine-activating DltD protein
BAF67079.1,2585.111857,0.629571042,0.385689755,1.632325032,0.102611033,2.89E-01,AP009351.1,895422,895664,-,NWMN_0807,NWMN_0807,conserved hypothetical protein
BAF67080.1,192.8254225,1.131761021,0.353167211,3.204603899,0.001352485,1.34E-02,AP009351.1,895750,896088,+,NWMN_0808,NWMN_0808,conserved hypothetical protein
BAF67081.1,568.986424,0.403504382,0.306010988,1.318594423,0.187304739,4.09E-01,AP009351.1,896147,897211,-,NWMN_0809,NWMN_0809,conserved hypothetical protein
BAF67082.1,2463.434153,0.819525567,0.408928511,2.004080285,0.045061461,1.75E-01,AP009351.1,897528,897764,+,NWMN_0810,NWMN_0810,conserved hypothetical protein
BAF67083.1,6090.376544,-0.826098949,0.224632573,-3.677556368,0.000235479,3.00E-03,AP009351.1,898583,899791,+,NWMN_0811,NWMN_0811,conserved hypothetical protein
BAF67084.1,637.9344815,-0.656526978,0.170414655,-3.852526528,0.000116905,1.64E-03,AP009351.1,899922,901397,+,ampA,NWMN_0812,cytosol aminopeptidase
BAF67085.1,1392.419317,0.045918034,0.263762798,0.174088363,0.861796019,9.29E-01,AP009351.1,901809,903125,+,NWMN_0813,NWMN_0813,Na%2B%2FH%2B antiporter family protein
BAF67086.1,641.0362688,0.084292608,0.30255232,0.278605062,0.780547928,8.81E-01,AP009351.1,903144,903518,+,NWMN_0814,NWMN_0814,conserved hypothetical protein
BAF67087.1,108.6495716,0.218011944,0.357939058,0.609075594,0.542474334,7.34E-01,AP009351.1,903574,904728,-,NWMN_0815,NWMN_0815,conserved hypothetical protein
BAF67088.1,1055.681964,-0.067425512,0.200331867,-0.33656908,0.736441768,8.58E-01,AP009351.1,904977,905333,-,mnhG,NWMN_0816,Na%2B%2FH%2B antiporter subunit
BAF67089.1,710.8253841,-0.14059186,0.181455067,-0.774802612,0.438456306,6.53E-01,AP009351.1,905311,905604,-,mnhF,NWMN_0817,Na%2B%2FH%2B antiporter subunit
BAF67090.1,2613.871942,-0.560541289,0.203752807,-2.751084987,0.005939823,4.24E-02,AP009351.1,905604,906083,-,mnhE,NWMN_0818,Na%2B%2FH%2B antiporter subunit
BAF67091.1,2241.600159,-0.642339671,0.28002378,-2.293875443,0.021797654,1.08E-01,AP009351.1,906085,907581,-,mnhD,NWMN_0819,Na%2B%2FH%2B antiporter subunit
BAF67092.1,1303.701769,-0.639275034,0.301347393,-2.121388965,0.033889083,1.46E-01,AP009351.1,907574,907972,-,mnhC,NWMN_0820,Na%2B%2FH%2B antiporter subunit
BAF67093.1,1199.999749,-0.640355597,0.294882617,-2.171561017,0.02988879,1.33E-01,AP009351.1,907915,908343,-,mnhB,NWMN_0821,Na%2B%2FH%2B antiporter subunit
BAF67094.1,4305.18839,-0.313168156,0.180540443,-1.734614975,0.082809025,2.53E-01,AP009351.1,908336,910741,-,mnhA,NWMN_0822,Na%2B%2FH%2B antiporter subunit
BAF67095.1,44.68493453,-0.414833094,0.320632226,-1.293797257,0.19573546,4.19E-01,AP009351.1,910872,911255,-,NWMN_0823,NWMN_0823,conserved hypothetical protein
BAF67096.1,2139.659329,0.053453445,0.350268099,0.152607232,0.878708022,9.39E-01,AP009351.1,911319,911912,+,ppi,NWMN_0824,cyclophilin type peptidyl-prolyl cis-trans isomerase
BAF67097.1,1398.041868,1.588869562,0.441382874,3.599753535,0.000318519,3.84E-03,AP009351.1,912328,912705,+,NWMN_0825,NWMN_0825,conserved hypothetical protein
